date,calls,p_c_ratio,puts,total
2008-03-04,2055038,1.18,2433553,4488591
2008-03-05,1727185,1.14,1964830,3692015
2008-03-06,1850918,1.27,2358928,4209846
2008-03-07,2200544,1.24,2721965,4922509
2008-03-10,1902690,1.49,2829862,4732552
2008-03-11,2497931,1.11,2773999,5271930
2008-03-12,2013286,1.11,2232648,4245934
2008-03-13,2311685,1.21,2790771,5102456
2008-03-14,2507256,1.42,3548106,6055362
2008-03-17,2705098,1.49,4020737,6725835
2008-03-18,3055336,1,3043975,6099311
2008-03-19,2958353,1.21,3568820,6527173
2008-03-20,2811836,1.11,3115757,5927593
2008-03-24,2564163,0.82,2094661,4658824
2008-03-25,1902462,0.96,1827834,3730296
2008-03-26,1915178,1.03,1971090,3886268
2008-03-27,1599471,1.14,1818867,3418338
2008-03-28,1294049,1.17,1519775,2813824
2008-03-31,1406172,1.02,1429392,2835564
2008-04-01,2521623,0.9,2262519,4784142
2008-04-02,1962400,1.05,2068129,4030529
2008-04-03,1561283,1.05,1632757,3194040
2008-04-04,1771288,1.19,2099602,3870890
2008-04-07,1945007,0.97,1888625,3833632
2008-04-08,1384919,1.13,1564718,2949637
2008-04-09,1645672,1.16,1908785,3554457
2008-04-10,1770675,0.98,1736479,3507154
2008-04-11,1916268,1.29,2469232,4385500
2008-04-14,1793297,1.02,1822824,3616121
2008-04-15,1849215,1.06,1961981,3811196
2008-04-16,2710201,0.92,2491670,5201871
2008-04-17,2415940,0.93,2237600,4653540
2008-04-18,3324355,0.82,2739534,6063889
2008-04-21,1927847,0.94,1818869,3746716
2008-04-22,1958692,1.07,2092229,4050921
2008-04-23,1760748,0.95,1667779,3428527
2008-04-24,2254922,0.9,2024959,4279881
2008-04-25,1831331,0.91,1658157,3489488
2008-04-28,1537678,0.96,1482043,3019721
2008-04-29,1579094,1.08,1699474,3278568
2008-04-30,1867904,0.92,1710990,3578894
2008-05-01,2345523,0.93,2184145,4529668
2008-05-02,2236089,0.9,2004240,4240329
2008-05-05,1960506,0.89,1746560,3707066
2008-05-06,2461942,0.82,2014182,4476124
2008-05-07,2288210,1.02,2343893,4632103
2008-05-08,1897836,0.89,1681147,3578983
2008-05-09,1868316,0.92,1727192,3595508
2008-05-12,2125108,0.86,1836776,3961884
2008-05-13,2381602,0.79,1872225,4253827
2008-05-14,2810896,0.8,2253578,5064474
2008-05-15,2695270,0.77,2080746,4776016
2008-05-16,2806011,0.86,2406326,5212337
2008-05-19,2429897,0.85,2077129,4507026
2008-05-20,1992388,1.08,2161548,4153936
2008-05-21,2153622,1.18,2543592,4697214
2008-05-22,1768229,0.97,1708172,3476401
2008-05-23,1887208,1.05,1977541,3864749
2008-05-27,1535347,0.94,1443538,2978885
2008-05-28,1720915,0.81,1401826,3122741
2008-05-29,2111308,0.85,1800634,3911942
2008-05-30,1567110,0.84,1308652,2875762
2008-06-02,1800527,1.07,1933125,3733652
2008-06-03,1942397,1.16,2256075,4198472
2008-06-04,1848081,1.08,1994928,3843009
2008-06-05,2293513,0.97,2232171,4525684
2008-06-06,2712935,1.14,3081066,5794001
2008-06-09,2718434,0.95,2585836,5304270
2008-06-10,2298118,0.96,2207915,4506033
2008-06-11,2486521,1.14,2824407,5310928
2008-06-12,2591157,0.97,2502503,5093660
2008-06-13,2511439,0.91,2281325,4792764
2008-06-16,2353202,0.93,2193751,4546953
2008-06-17,2091202,0.99,2078539,4169741
2008-06-18,2610486,1.12,2911208,5521694
2008-06-19,3120254,0.99,3074235,6194489
2008-06-20,2890319,1.32,3826049,6716368
2008-06-23,2358522,0.87,2042193,4400715
2008-06-24,2147469,0.99,2128546,4276015
2008-06-25,2514038,0.86,2156044,4670082
2008-06-26,2721503,1.15,3131671,5853174
2008-06-27,2364255,1.13,2672009,5036264
2008-06-30,2301144,1.09,2512749,4813893
2008-07-01,2949722,1.02,3008117,5957839
2008-07-02,2695093,1.08,2921430,5616523
2008-07-03,1694969,1.2,2040615,3735584
2008-07-07,2664358,1.21,3211867,5876225
2008-07-08,3100310,1.02,3154467,6254777
2008-07-09,2564370,1.01,2581773,5146143
2008-07-10,2830282,1.06,2988158,5818440
2008-07-11,3476798,1.15,3991267,7468065
2008-07-14,2806697,1.16,3249248,6055945
2008-07-15,3876457,1.16,4478235,8354692
2008-07-16,3821441,0.93,3536911,7358352
2008-07-17,4502726,0.86,3891731,8394457
2008-07-18,3214833,0.93,2976951,6191784
2008-07-21,2459621,0.88,2159101,4618722
2008-07-22,2892322,0.91,2626525,5518847
2008-07-23,3440373,0.9,3091726,6532099
2008-07-24,2590221,1.05,2722515,5312736
2008-07-25,2051072,0.85,1739685,3790757
2008-07-28,1844686,1.06,1964466,3809152
2008-07-29,2481409,0.86,2121839,4603248
2008-07-30,2742855,0.87,2392443,5135298
2008-07-31,2362064,0.95,2244958,4607022
2008-08-01,2627961,0.99,2613905,5241866
2008-08-04,2018736,0.97,1965156,3983892
2008-08-05,2861386,0.77,2189789,5051175
2008-08-06,2445915,0.94,2310872,4756787
2008-08-07,2118861,1.05,2225345,4344206
2008-08-08,2566387,0.93,2391128,4957515
2008-08-11,3101556,0.86,2682444,5784000
2008-08-12,2573054,1.06,2732340,5305394
2008-08-13,2762753,1.02,2821222,5583975
2008-08-14,3006765,0.87,2607299,5614064
2008-08-15,2623564,1,2623264,5246828
2008-08-18,2022529,1.06,2153019,4175548
2008-08-19,1989968,1.13,2251044,4241012
2008-08-20,1859859,0.96,1783853,3643712
2008-08-21,1729192,0.97,1683101,3412293
2008-08-22,1528336,0.86,1318973,2847309
2008-08-25,1265610,1.12,1418681,2684291
2008-08-26,1344845,0.97,1310943,2655788
2008-08-27,1499253,0.82,1233346,2732599
2008-08-28,1894078,0.82,1560953,3455031
2008-08-29,1387600,1,1388641,2776241
2008-09-02,1979228,0.96,1909452,3888680
2008-09-03,2427885,0.86,2077482,4505367
2008-09-04,2900352,1.05,3047238,5947590
2008-09-05,2743080,1.01,2769589,5512669
2008-09-08,3112892,0.9,2787325,5900217
2008-09-09,2949829,1.12,3308363,6258192
2008-09-10,2554667,1.1,2807178,5361845
2008-09-11,3291459,1,3304254,6595713
2008-09-12,3082357,1.01,3113441,6195798
2008-09-15,2743055,1.46,3991202,6734257
2008-09-16,3718898,1.29,4810450,8529348
2008-09-17,4103422,1.37,5642200,9745622
2008-09-18,4577074,1.18,5398390,9975464
2008-09-19,4483271,0.83,3723803,8207074
2008-09-22,2398106,0.97,2327561,4725667
2008-09-23,2398300,1.04,2489929,4888229
2008-09-24,1948692,1.06,2070009,4018701
2008-09-25,2622858,0.8,2087392,4710250
2008-09-26,2123440,1.02,2162530,4285970
2008-09-29,2442442,1.36,3309833,5752275
2008-09-30,2360068,1.3,3064543,5424611
2008-10-01,2291411,0.99,2264724,4556135
2008-10-02,2433667,1.36,3320441,5754108
2008-10-03,2835945,1.1,3129571,5965516
2008-10-06,3784653,1.52,5742368,9527021
2008-10-07,3263448,1.11,3618143,6881591
2008-10-08,3458159,1.19,4101491,7559650
2008-10-09,3032396,1.35,4107450,7139846
2008-10-10,4090951,1.23,5018856,9109807
2008-10-13,3398375,0.89,3007880,6406255
2008-10-14,3388130,0.87,2958225,6346355
